iter	Passed	Remaining
613	2029	1276
614	2033	1272
615	2036	1269
616	2039	1266
617	2042	1262
618	2046	1259
619	2049	1255
620	2052	1252
621	2055	1249
622	2059	1246
623	2062	1242
624	2065	1239
625	2068	1235
626	2071	1232
627	2074	1228
628	2077	1225
629	2081	1222
630	2084	1218
631	2087	1215
632	2090	1212
633	2093	1208
634	2096	1205
635	2099	1201
636	2102	1198
637	2106	1195
638	2109	1191
639	2112	1188
640	2116	1185
641	2119	1181
642	2122	1178
643	2125	1174
644	2128	1171
645	2131	1168
646	2135	1164
647	2138	1161
648	2141	1158
649	2144	1154
650	2147	1151
651	2150	1148
652	2153	1144
653	2157	1141
654	2160	1137
655	2163	1134
656	2166	1131
657	2169	1127
658	2173	1124
659	2176	1121
660	2179	1117
661	2182	1114
662	2185	1111
663	2188	1107
664	2192	1104
665	2195	1100
666	2198	1097
667	2201	1094
668	2204	1090
669	2207	1087
670	2211	1084
671	2214	1080
672	2217	1077
673	2220	1074
674	2224	1070
675	2227	1067
676	2230	1064
677	2233	1060
678	2236	1057
679	2240	1054
680	2243	1050
681	2246	1047
682	2249	1044
683	2252	1040
684	2256	1037
685	2259	1034
686	2262	1030
687	2264	1027
688	2268	1023
689	2271	1020
690	2274	1017
691	2277	1013
692	2280	1010
693	2283	1006
694	2286	1003
695	2290	1000
696	2293	996
697	2296	993
698	2299	990
699	2302	986
700	2306	983
701	2309	980
702	2312	976
703	2315	973
704	2318	970
705	2321	966
706	2324	963
707	2328	960
708	2331	956
709	2334	953
710	2337	950
711	2340	946
712	2343	943
713	2346	939
714	2349	936
715	2352	933
716	2356	929
717	2359	926
718	2362	923
719	2365	919
720	2368	916
721	2371	913
722	2375	909
723	2378	906
724	2381	903
725	2384	899
726	2387	896
727	2390	893
728	2394	889
729	2397	886
730	2400	883
731	2403	880
732	2407	876
733	2410	873
734	2413	870
735	2416	866
736	2419	863
737	2422	860
738	2425	856
739	2429	853
740	2432	850
741	2435	846
742	2438	843
743	2441	840
744	2444	836
745	2447	833
746	2450	829
747	2453	826
748	2456	823
749	2460	820
750	2463	816
751	2467	813
752	2470	810
753	2473	807
754	2477	803
755	2480	800
756	2483	797
757	2487	794
758	2490	790
759	2493	787
760	2496	784
761	2499	780
762	2503	777
763	2506	774
764	2509	770
765	2512	767
766	2516	764
767	2519	761
768	2522	757
769	2525	754
770	2528	751
771	2532	747
772	2535	744
773	2538	741
774	2541	737
775	2544	734
776	2547	731
777	2551	727
778	2554	724
779	2557	721
780	2560	718
781	2563	714
782	2567	711
783	2570	708
784	2573	704
785	2576	701
786	2579	698
787	2582	694
788	2585	691
789	2588	688
790	2592	684
791	2595	681
792	2598	678
793	2601	675
794	2604	671
795	2608	668
796	2611	665
797	2614	661
798	2617	658
799	2620	655
800	2623	651
801	2627	648
802	2630	645
803	2634	642
804	2637	638
805	2640	635
806	2643	632
807	2646	628
808	2649	625
809	2652	622
810	2655	618
811	2659	615
812	2662	612
813	2666	609
814	2668	605
815	2672	602
816	2675	599
817	2678	595
818	2681	592
819	2684	589
820	2687	585
821	2690	582
822	2693	579
823	2696	576
824	2700	572
825	2703	569
826	2706	566
827	2709	562
828	2713	559
829	2716	556
830	2719	553
831	2722	549
832	2725	546
833	2728	543
834	2731	539
835	2735	536
836	2738	533
837	2741	529
838	2744	526
839	2747	523
840	2750	520
841	2754	516
842	2757	513
843	2760	510
844	2764	507
845	2767	503
846	2770	500
847	2773	497
848	2777	493
849	2779	490
850	2783	487
851	2785	483
852	2789	480
853	2792	477
854	2795	474
855	2798	470
856	2801	467
857	2804	464
858	2807	460
859	2810	457
860	2814	454
861	2817	451
862	2820	447
